Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion (DE-LU)
,Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2025-01-07T22:00+01:00,19702.7046,45516.02112,72.45
2025-01-07T23:00+01:00,19368.60518,44319.02678,50.04
2025-01-08T00:00+01:00,18023.32591,43818.04087,71.05
2025-01-08T01:00+01:00,18108.1213,42716.75813,68.01
2025-01-08T02:00+01:00,18728.03519,40912.32279,63.34
2025-01-08T03:00+01:00,18893.72337,40422.99855,57.01
2025-01-08T04:00+01:00,19895.0809,40087.1533,66.29
2025-01-08T05:00+01:00,22475.57249,40098.51859,72.07
2025-01-08T06:00+01:00,25460.09359,41277.03666,82.7
2025-01-08T07:00+01:00,28212.15992,41943.01615,100.73
2025-01-08T08:00+01:00,30297.46647,41806.10312,128.22
2025-01-08T09:00+01:00,31292.50499,40987.70759,108.18
2025-01-08T10:00+01:00,31728.29501,41660.69648,94.65
2025-01-08T11:00+01:00,31655.1973,41883.24126,100.01
2025-01-08T12:00+01:00,31887.6557,40606.15815,89.99
2025-01-08T13:00+01:00,32168.17947,38107.32459,97.2
2025-01-08T14:00+01:00,32274.14333,34440.87109,110.19
2025-01-08T15:00+01:00,31591.44544,31190.26218,127.8
2025-01-08T16:00+01:00,31790.66318,31073.39422,135.82
2025-01-08T17:00+01:00,31944.94025,31198.29338,155.46
2025-01-08T18:00+01:00,31922.42378,30330.85214,149.23
2025-01-08T19:00+01:00,31279.81093,29283.23306,146.48
2025-01-08T20:00+01:00,30853.20145,26973.38334,136.86
2025-01-08T21:00+01:00,29242.55497,24938.75071,127.86
2025-01-08T22:00+01:00,27364.09939,23490.57798,115.92
2025-01-08T23:00+01:00,25819.10493,22785.67885,103.59
2025-01-09T00:00+01:00,25207.95818,22148.40417,101.44
2025-01-09T01:00+01:00,24891.69759,21529.46468,100
2025-01-09T02:00+01:00,25024.3531,20526.32536,98.77
2025-01-09T03:00+01:00,25532.40252,20465.18916,95.22
2025-01-09T04:00+01:00,26247.21172,20943.32635,98.28
2025-01-09T05:00+01:00,28161.33452,20665.88904,102.65
2025-01-09T06:00+01:00,32404.48754,20341.70251,133.54
2025-01-09T07:00+01:00,34127.92047,19821.76925,148.8
2025-01-09T08:00+01:00,35124.92017,19960.68025,164.88
2025-01-09T09:00+01:00,35614.0705,22308.88353,156.15
2025-01-09T10:00+01:00,35123.65377,24668.42962,147.64
2025-01-09T11:00+01:00,34878.84448,26210.36308,140.21
2025-01-09T12:00+01:00,34166.75051,25574.63266,128.18
2025-01-09T13:00+01:00,34142.56029,25242.24957,121.15
2025-01-09T14:00+01:00,33952.8354,24724.12183,123.95
2025-01-09T15:00+01:00,33578.74987,25683.60641,127.53
2025-01-09T16:00+01:00,33243.45911,28749.26621,123.75
2025-01-09T17:00+01:00,33414.09303,31161.42908,130.91
2025-01-09T18:00+01:00,33726.69545,33320.73666,134.75
2025-01-09T19:00+01:00,33090.3006,34793.81598,125.44
2025-01-09T20:00+01:00,30394.76157,35573.38154,119.23
2025-01-09T21:00+01:00,27693.91899,36070.17744,104.99
2025-01-09T22:00+01:00,26822.83595,36119.71987,101.1
2025-01-09T23:00+01:00,25279.25869,36822.6123,88.19
2025-01-10T00:00+01:00,22530.7596,38131.88652,84.79
2025-01-10T01:00+01:00,20987.70766,39181.64762,80.23
2025-01-10T02:00+01:00,19831.73064,39643.87301,71.29
2025-01-10T03:00+01:00,19103.01652,39172.92688,69.05
2025-01-10T04:00+01:00,20766.3046,38228.49151,69.89
2025-01-10T05:00+01:00,22867.86074,37370.71768,83.9
2025-01-10T06:00+01:00,26798.73497,37805.98388,99.09
2025-01-10T07:00+01:00,29565.9185,36627.72002,123.92
2025-01-10T08:00+01:00,30327.48103,36144.20546,139.47
2025-01-10T09:00+01:00,30485.59092,36767.0611,136.92
2025-01-10T10:00+01:00,30159.64867,38610.5143,123.57
2025-01-10T11:00+01:00,29942.57746,39230.82617,113.59
2025-01-10T12:00+01:00,29437.01029,39438.29193,107.43
2025-01-10T13:00+01:00,28522.60578,38884.67759,105.01
2025-01-10T14:00+01:00,28979.00343,35969.95357,110.01
2025-01-10T15:00+01:00,30129.88799,31734.34394,128.69
2025-01-10T16:00+01:00,30874.14831,29407.6218,134.87
2025-01-10T17:00+01:00,30997.09332,29226.91373,142.56
2025-01-10T18:00+01:00,30985.74365,29537.73526,144.12
2025-01-10T19:00+01:00,30565.39014,28468.94912,141.05
2025-01-10T20:00+01:00,30269.76188,27589.12187,134.82
2025-01-10T21:00+01:00,29925.77265,27086.74977,122.51
2025-01-10T22:00+01:00,28602.33954,25885.48848,119.77
2025-01-10T23:00+01:00,26918.01022,25135.04488,111.71
2025-01-11T00:00+01:00,24998.17251,24200.34795,106.64
2025-01-11T01:00+01:00,24724.41765,24716.65362,98.99
2025-01-11T02:00+01:00,23865.59722,25487.29869,95.71
2025-01-11T03:00+01:00,23180.90022,25976.20029,89.45
2025-01-11T04:00+01:00,23040.65188,26570.96242,88.35
2025-01-11T05:00+01:00,23905.45759,26544.32348,88.4
2025-01-11T06:00+01:00,24697.50554,27736.28151,88.13
2025-01-11T07:00+01:00,25316.85817,28777.42051,94.68
2025-01-11T08:00+01:00,25651.5167,30390.21398,107.65
2025-01-11T09:00+01:00,26659.82398,32700.13283,103.14
2025-01-11T10:00+01:00,27135.83365,36133.3783,101.13
2025-01-11T11:00+01:00,26899.61118,39062.6616,99.56
2025-01-11T12:00+01:00,26700.0199,39277.44842,96.74
2025-01-11T13:00+01:00,27362.66363,38768.29558,93.15
2025-01-11T14:00+01:00,27985.35474,38008.64803,94.9
2025-01-11T15:00+01:00,28301.69002,36804.71861,104.89
2025-01-11T16:00+01:00,28351.42324,36553.42971,112.12
2025-01-11T17:00+01:00,27743.00615,37314.82829,119.8
2025-01-11T18:00+01:00,27777.08913,36981.5766,122.34
2025-01-11T19:00+01:00,26575.90018,36332.58455,114.85
2025-01-11T20:00+01:00,26013.45713,34764.10303,111.19
2025-01-11T21:00+01:00,26056.67637,33139.41818,104.8
2025-01-11T22:00+01:00,25814.93562,30527.46998,103.07
2025-01-11T23:00+01:00,25584.48378,28185.27309,105.69
2025-01-12T00:00+01:00,23832.95724,28053.88577,83.58
2025-01-12T01:00+01:00,23500.68122,26802.00896,83.79
2025-01-12T02:00+01:00,22822.99928,26117.31004,86.75
2025-01-12T03:00+01:00,22399.44113,26399.00638,84.2
2025-01-12T04:00+01:00,21604.88148,26585.62457,85
